father,food,ground,height,oc
1,3,2,166,0
1,2,1,165,0
1,1,2,160,1
1,2,1,163,0
1,2,1,161,0
1,1,2,155,0
1,1,2,162,0
1,2,1,166,0
1,2,1,162,0
1,2,2,164,0
1,3,1,166,1
1,2,2,165,0
1,2,1,168,0
1,2,2,166,0
1,3,2,155,0
1,2,2,158,0
2,2,2,164,0
2,3,2,168,0
2,3,2,159,0
2,2,2,162,1
2,1,2,169,0
2,2,1,171,0
2,3,2,168,0
2,2,1,166,0
2,2,1,165,0
2,2,2,159,0
2,2,2,161,0
2,3,1,160,0
2,2,2,162,0
2,2,2,169,1
2,3,1,170,0
2,3,2,164,0
2,3,2,163,0
2,3,1,158,0
3,3,1,169,0
3,3,2,160,1
3,2,2,153,0
3,3,2,153,0
3,1,2,165,0
3,2,2,166,0
3,3,2,164,0
3,2,1,169,0
3,2,1,162,0
3,2,2,152,0
3,2,1,154,0
3,2,1,163,0
3,2,1,162,0
3,2,2,162,1
4,2,1,161,0
4,3,1,159,0
4,2,2,160,1
4,3,2,167,1
4,2,2,170,0
4,3,2,163,1
4,2,1,158,0
4,3,2,160,0
4,3,1,161,0
4,2,2,160,1
4,3,1,160,0
4,1,2,163,0
4,3,2,160,0
5,2,1,162,0
5,3,1,163,0
5,2,2,158,0
5,2,1,161,0
5,3,2,153,0
5,2,2,167,0
5,1,1,153,0
5,2,1,160,0
5,2,1,163,0
5,1,2,159,0
5,2,2,161,0
6,2,1,165,0
6,3,2,171,1
6,3,2,166,0
6,2,2,164,0
6,2,1,165,0
6,2,1,173,0
6,3,2,160,0
6,2,2,165,0
6,2,2,156,0
6,2,2,164,0
6,2,2,162,0
6,2,1,173,0
6,2,1,168,0
6,3,1,163,0
6,2,1,162,0
6,3,1,166,0
6,2,1,164,0
6,2,1,169,1
6,3,2,163,0
7,3,1,167,0
7,2,1,161,0
7,3,2,163,0
7,3,2,163,0
7,3,2,166,0
7,3,2,167,1
7,3,2,160,0
7,2,2,163,0
7,2,1,168,0
7,2,2,163,0
7,2,2,164,0
7,2,2,164,0
7,2,2,165,1
7,2,2,165,1
7,2,2,167,1
7,1,2,167,1
8,2,1,167,1
8,1,2,168,0
8,2,2,155,0
8,1,1,162,0
8,2,2,162,0
8,2,2,160,1
8,2,2,164,0
8,2,1,164,0
8,2,2,162,0
8,1,1,165,0
8,2,1,166,0
8,2,2,164,0
8,2,2,166,0
9,3,1,168,0
9,2,2,162,0
9,2,2,162,0
9,2,2,164,0
9,2,2,155,0
9,2,1,161,0
9,2,2,159,1
9,1,2,161,0
9,3,2,161,0
9,2,2,165,0
9,2,2,167,0
9,2,2,165,0
9,2,2,167,0
9,3,2,168,1
9,2,1,162,0
9,2,1,163,0
9,3,1,160,0
9,2,2,164,0
9,3,1,164,0
9,2,2,165,0
10,2,1,162,1
10,2,2,167,0
10,3,1,166,1
10,3,2,169,0
10,2,2,167,0
10,2,2,163,0
10,2,2,167,1
10,3,2,165,0
10,2,2,156,0
10,2,1,163,0
10,2,2,162,0
10,3,2,161,0
10,2,2,165,0
10,2,2,168,0
10,2,2,166,0
11,2,1,171,0
11,3,1,164,0
11,2,2,165,0
11,2,1,161,0
11,2,1,171,1
11,3,2,168,1
11,1,2,163,0
11,2,1,166,0
11,2,2,164,0
11,3,2,160,0
11,2,2,163,0
11,2,1,163,0
11,1,1,161,0
12,3,2,168,0
12,2,1,165,0
12,3,1,165,0
12,2,2,169,0
12,2,1,165,0
12,2,2,163,0
12,2,2,163,0
12,2,2,175,0
12,2,1,172,0
12,2,2,165,0
12,2,1,167,0
12,2,1,159,0
12,2,1,163,0
12,3,1,165,0
12,3,2,170,0
13,2,2,167,1
13,2,2,163,0
13,1,2,158,1
13,3,2,159,0
13,2,2,157,0
13,2,2,156,0
13,2,1,163,0
13,3,2,165,0
13,2,2,155,0
13,2,2,157,0
13,1,2,162,0
13,1,2,165,1
14,1,2,164,0
14,2,2,169,0
14,2,2,166,0
14,2,2,167,0
14,2,1,168,0
14,3,2,162,0
14,3,2,164,0
14,3,2,171,0
14,3,2,168,0
14,2,1,163,0
14,1,2,161,0
14,3,2,167,0
15,1,2,160,0
15,2,2,165,0
15,2,1,166,0
15,2,2,160,0
15,2,2,165,0
15,2,2,163,0
15,1,2,170,0
15,2,2,164,0
15,2,2,159,0
15,1,1,164,0
15,2,2,157,0
15,2,2,162,0
15,2,2,165,0
15,1,2,159,0
15,2,1,166,0
15,2,1,158,0
16,2,1,168,0
16,3,1,163,0
16,2,1,168,0
16,1,2,158,0
16,2,1,165,0
16,2,2,164,0
16,2,1,164,0
16,1,1,167,1
16,2,2,159,0
16,2,1,168,0
16,1,1,165,0
16,2,2,161,0
16,1,2,168,0
16,2,1,160,0
16,1,2,153,0
16,3,2,164,0
17,2,2,158,0
17,3,2,155,0
17,1,1,157,0
17,1,2,165,0
17,2,2,158,0
17,2,2,161,0
17,3,1,169,0
17,1,1,168,0
17,2,1,164,0
17,2,2,163,0
17,2,1,159,0
17,3,2,166,0
17,2,1,157,0
18,2,1,165,0
18,1,1,160,0
18,3,1,165,0
18,3,2,169,0
18,2,1,162,0
18,2,2,157,0
18,2,1,163,1
18,1,2,166,0
18,2,1,171,0
18,2,1,164,0
18,2,2,173,1
18,2,2,168,1
18,3,2,167,0
18,3,2,166,0
19,3,2,172,1
19,1,2,160,0
19,1,2,162,0
19,2,2,165,0
19,2,1,162,0
19,2,2,165,0
19,1,1,165,1
19,2,2,172,0
19,2,2,158,0
19,2,2,162,1
19,2,1,167,0
19,2,2,159,0
19,2,2,162,0
20,2,1,166,0
20,2,2,162,0
20,1,1,159,1
20,2,2,161,0
20,2,2,164,1
20,3,2,163,0
20,1,2,162,0
20,2,1,161,0
20,2,2,159,0
20,2,2,170,1
20,1,2,163,0
21,2,1,158,0
21,1,1,167,0
21,2,1,171,0
21,2,2,166,0
21,2,2,158,0
21,2,2,164,0
21,3,2,157,0
21,1,2,160,0
21,3,2,160,0
21,2,2,170,1
21,2,1,169,0
21,2,2,168,0
21,2,2,168,0
21,1,1,165,0
21,3,2,165,0
22,3,1,163,0
22,2,1,155,0
22,2,1,165,0
22,2,1,160,0
22,2,2,172,0
22,3,2,160,0
22,2,1,158,0
22,1,1,168,0
22,2,1,168,0
22,2,1,163,0
22,2,2,163,0
22,2,1,171,1
22,2,1,157,1
22,2,2,165,0
22,2,1,168,0
22,1,2,170,0
22,3,1,165,0
22,2,2,162,0
23,1,2,165,0
23,2,2,170,0
23,2,2,172,0
23,2,2,167,0
23,2,2,169,0
23,3,2,166,1
23,3,2,166,0
23,2,2,169,0
23,2,2,173,0
23,3,2,160,0
23,2,2,172,0
23,3,2,172,0
23,2,2,164,0
23,3,1,170,0
23,3,1,171,0
24,3,1,165,0
24,2,2,161,0
24,2,2,157,0
24,3,2,170,0
24,3,1,169,0
24,2,2,166,0
24,2,1,166,0
24,1,2,157,0
24,2,1,161,0
24,2,1,165,0
24,2,2,163,0
24,2,2,168,1
24,1,2,158,0
24,3,2,168,1
24,2,1,163,0
24,1,2,167,0
24,3,1,163,0
24,2,1,162,1
25,2,2,166,0
25,3,2,172,0
25,3,1,170,0
25,2,2,165,0
25,2,2,168,1
25,3,2,168,1
25,3,2,173,0
25,2,2,171,1
25,3,2,161,0
25,2,1,163,0
25,2,2,163,0
25,2,1,164,0
25,3,2,170,0
25,2,1,159,1
25,1,2,160,1
25,2,1,162,0
26,2,1,168,0
26,2,1,158,0
26,2,2,159,0
26,2,2,165,0
26,1,1,162,0
26,2,1,164,0
26,2,2,161,0
26,3,1,165,0
26,2,1,164,1
26,3,2,160,0
26,1,2,163,0
26,3,1,163,0
26,3,2,159,0
26,2,1,165,0
26,2,2,158,1
26,2,1,162,0
27,3,2,168,1
27,2,2,163,0
27,2,1,161,0
27,3,2,170,1
27,2,1,166,0
27,2,1,170,0
27,2,2,166,0
27,3,1,169,0
27,2,1,167,1
27,2,2,166,0
27,2,1,168,1
28,2,2,161,0
28,2,2,170,0
28,2,1,161,0
28,3,1,171,0
28,3,2,162,0
28,2,2,164,0
28,2,2,164,0
28,3,2,161,0
28,2,2,165,0
28,2,1,164,0
28,2,1,166,1
28,3,2,162,0
28,2,2,174,0
28,3,1,154,1
28,2,1,161,0
28,2,2,163,0
28,2,2,153,0
29,2,2,165,1
29,2,2,162,0
29,2,2,166,0
29,2,1,154,0
29,2,1,168,0
29,3,2,171,1
29,2,1,162,0
29,1,1,159,0
29,2,1,177,0
29,2,2,167,1
29,2,2,162,0
29,2,2,164,0
29,2,1,168,1
30,2,1,164,0
30,3,2,164,0
30,2,1,161,0
30,1,1,167,0
30,2,2,160,0
30,3,2,165,0
30,2,1,167,0
30,3,2,161,0
30,3,2,166,0
30,2,2,159,0
30,3,2,164,0
